lunar,(adj.5),月的;陰曆的
luxurious,(adj.9),奢侈的;驕奢淫逸的
magnetic,(adj.8),磁鐵的;磁性的
magnificent,(adj.11),"壯麗的,宏偉的"
manual,(adj.6),用手操作的
maximum,(adj.7),最大限度的
mechanical,(adj.10),機械的
memorable,(adj.9),值得懷念的;難忘的
memorial,(adj.8),追悼的;記憶的
mere,(adj.4),"僅僅的,只不過的"
messy,(adj.5),混亂的
mild,(adj.4),"溫和的,溫柔的"
minimum,(adj.7),"最小的,最少的"
miserable,(adj.9),悽慘的;悲哀的
moderate,(adj.8),"中等的,適度的"
modest,(adj.6),審慎的;適度的
monthly,(adj.7),每月的;每月一次的
mountainous,(adj.11),多山的;巨大的
muddy,(adj.5),多爛泥的;泥濘的
multiple,(adj.8),複合的;多樣的
mutual,(adj.6),相互的;共同的
mysterious,(adj.10),神祕的;不可思議的
nearsighted,(adj.11),近視的
needy,(adj.5),貧窮的
nuclear,(adj.7),原子能的;細胞核的
numerous,(adj.8),"許多的,很多的"
obedient,(adj.8),"服從的,順從的"
objective,(adj.9),客觀的
occasional,(adj.10),"偶爾的,非經常的"
offensive,(adj.9),"冒犯的,唐突的"
oral,(adj.4),"口頭的,口述的;口部的"
organic,(adj.7),有機的
outstanding,(adj.11),傑出的;未償付的
oval,(adj.4),卵形的;橢圓形的
overnight,(adj.9),通宵;整夜
partial,(adj.7),"部分的,局部的;不完全的"
passive,(adj.7),被動的;消極的
peculiar,(adj.8),奇怪的;乖癖的
permanent,(adj.9),"永久的,永恆的;永遠的"
persuasive,(adj.10),有說服力的
pessimistic,(adj.11),悲觀的
philosophical,(adj.13),哲學的
physical,(adj.8),身體的;物理學的
plentiful,(adj.9),"豐富的,充足的;多的"
plural,(adj.6),複數的
poisonous,(adj.9),有毒的;有害的
portable,(adj.8),手提式的;輕便的
precise,(adj.7),精確的;準確的
preferable,(adj.10),"更可取的,更合意的"
pregnant,(adj.8),懷孕的
prime,(adj.5),最初的;原始的;基本的
primitive,(adj.9),原始的;遠古的;早期的
productive,(adj.10),"生產的,生產性的"
professional,(adj.12),職業性的
profitable,(adj.10),有利的
prominent,(adj.9),"卓越的,著名的"
promising,(adj.9),"有希望的,有前途的"
prompt,(adj.6),"敏捷的;即時的,即期的"
prosperous,(adj.10),"興旺的,繁榮的,昌盛的"
psychological,(adj.13),"心理的,精神的"
